episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
202,63.72,0.01,99.0,346.97,3.9,26.11,0.33,0.08
203,62.66,0.0,100.0,374.0,5.21,35.04,0.5,0.07
204,66.43,0.0,100.0,336.38,4.9,33.45,0.21,0.07
205,65.23,0.0,100.0,348.39,8.16,22.47,0.18,0.08
206,75.24,0.0,100.0,248.35,10.32,17.5,0.15,0.08
207,55.2,0.0,100.0,448.54,6.16,26.29,0.43,0.1
208,53.65,0.06,94.0,366.01,2.38,34.43,0.55,0.07
209,71.29,0.0,100.0,287.84,11.82,14.07,0.27,0.07
210,66.03,0.04,96.0,354.47,1.81,36.86,0.22,0.08
211,67.57,0.0,100.0,324.96,5.55,20.46,0.39,0.09
212,67.44,0.0,100.0,326.25,7.39,26.49,0.23,0.08
213,68.83,0.0,100.0,312.42,10.26,13.61,0.26,0.07
214,70.52,0.0,100.0,295.51,3.66,28.44,0.28,0.14
215,11.7,0.28,72.0,449.22,3.56,36.7,0.35,0.06
216,47.95,0.07,93.0,409.72,4.1,33.01,0.27,0.08
217,8.44,0.29,71.0,473.2,3.15,28.44,0.46,0.07
218,70.77,0.0,100.0,293.01,8.3,23.48,0.12,0.07
219,69.26,0.0,100.0,308.12,7.23,22.16,0.18,0.1
220,72.94,0.0,100.0,271.31,2.37,38.79,0.23,0.07
221,15.47,0.27,73.0,418.79,5.23,23.77,0.38,0.06
222,56.43,0.01,99.0,420.5,3.28,44.79,0.36,0.07
223,64.06,0.0,100.0,360.01,8.64,24.8,0.32,0.07
224,62.35,0.0,100.0,377.08,8.12,20.74,0.19,0.07
225,8.15,0.29,71.0,477.25,2.14,26.35,0.35,0.07
226,75.81,0.0,100.0,242.7,6.9,24.87,0.17,0.07
227,66.09,0.0,100.0,339.76,7.58,27.25,0.28,0.07
228,62.6,0.0,100.0,374.59,2.49,40.06,0.31,0.07
229,63.44,0.0,100.0,366.21,7.34,24.9,0.25,0.07
