episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
205,41.98,0.0,100.0,580.62,16.0,8.55,0.75,0.08
206,67.18,0.0,100.0,328.9,16.0,8.12,0.75,0.11
207,52.25,0.0,100.0,477.99,8.0,18.72,0.75,0.2
208,36.86,0.0,100.0,631.8,8.0,20.68,0.75,0.08
209,91.47,0.0,100.0,86.25,16.0,7.86,0.75,0.08
210,78.93,0.04,96.0,220.22,2.0,30.76,0.75,0.07
211,52.04,0.0,100.0,480.17,8.0,17.13,0.67,0.07
212,62.31,0.0,100.0,377.49,16.0,9.51,0.75,0.06
213,84.47,0.0,100.0,156.11,16.0,8.55,0.75,0.07
214,46.61,0.0,100.0,534.34,8.0,19.19,0.75,0.07
215,50.8,0.0,100.0,492.49,16.0,8.96,0.75,0.07
216,46.51,0.0,100.0,535.32,16.0,9.44,0.75,0.08
217,25.85,0.0,100.0,741.79,16.0,10.5,0.75,0.12
218,69.02,0.0,100.0,310.5,16.0,9.2,0.75,0.09
219,71.64,0.0,100.0,284.34,16.0,7.71,0.75,0.07
220,83.81,0.0,100.0,162.72,4.0,35.66,0.75,0.07
221,54.11,0.0,100.0,459.41,8.0,17.83,0.65,0.07
222,55.22,0.0,100.0,448.38,4.0,43.09,0.75,0.07
223,63.12,0.0,100.0,369.44,16.0,9.7,0.75,0.07
224,50.87,0.0,100.0,491.79,16.0,9.09,0.75,0.07
225,25.03,0.0,100.0,750.0,8.0,17.42,0.75,0.07
226,70.92,0.0,100.0,291.52,16.0,8.94,0.75,0.07
227,76.44,0.0,100.0,236.32,16.0,9.05,0.75,0.07
228,72.07,0.0,100.0,280.02,4.0,39.04,0.75,0.08
229,57.05,0.0,100.0,430.1,16.0,8.34,0.75,0.07
230,60.76,0.0,100.0,393.01,16.0,8.95,0.75,0.07
231,69.59,0.0,100.0,304.75,16.0,8.53,0.75,0.07
232,55.28,0.0,100.0,447.8,16.0,10.62,0.75,0.07
233,49.27,0.0,100.0,507.76,16.0,8.65,0.75,0.07
234,63.9,0.0,100.0,361.67,8.0,15.27,0.75,0.07
235,74.95,0.0,100.0,251.28,16.0,7.92,0.75,0.15
236,47.3,0.0,100.0,527.44,8.0,18.61,0.75,0.13
237,82.83,0.0,100.0,172.5,16.0,10.17,0.75,0.07
238,45.39,0.0,100.0,546.54,4.0,45.9,0.75,0.07
239,32.79,0.0,100.0,672.46,16.0,8.76,0.75,0.06
240,57.98,0.0,100.0,420.77,16.0,8.43,0.75,0.07
241,75.24,0.0,100.0,248.4,16.0,9.08,0.75,0.07
242,55.79,0.0,100.0,442.62,16.0,8.14,0.75,0.06
243,53.35,0.0,100.0,467.06,8.0,17.83,0.75,0.06
244,53.42,0.0,100.0,466.32,16.0,9.59,0.75,0.07
245,58.87,0.0,100.0,411.86,16.0,9.21,0.75,0.16
246,48.02,0.0,100.0,520.25,16.0,8.7,0.75,0.09
247,33.81,0.0,100.0,662.27,8.0,18.59,0.75,0.11
248,49.98,0.0,100.0,500.7,16.0,9.67,0.75,0.15
249,66.43,0.0,100.0,336.37,16.0,9.71,0.75,0.09
250,43.98,0.0,100.0,560.62,8.0,14.59,0.75,0.07
251,69.08,0.0,100.0,309.92,16.0,8.43,0.75,0.07
252,40.59,0.0,100.0,594.55,16.0,10.72,0.75,0.06
253,67.7,0.0,100.0,323.72,16.0,9.19,0.75,0.16
254,57.59,0.0,100.0,424.64,16.0,8.2,0.75,0.2
255,69.75,0.05,95.0,319.12,2.0,36.25,0.75,0.21
256,72.4,0.0,100.0,276.76,16.0,8.2,0.7,0.3
257,51.02,0.0,100.0,490.35,16.0,8.93,0.75,0.21
258,53.15,0.0,100.0,469.07,16.0,9.95,0.75,0.22
259,45.31,0.0,100.0,547.4,16.0,9.93,0.75,0.16
260,53.91,0.0,100.0,461.44,16.0,8.87,0.75,0.1
261,72.04,0.0,100.0,280.31,8.0,18.29,0.75,0.07
262,73.08,0.0,100.0,269.96,16.0,9.65,0.75,0.07
263,47.16,0.0,100.0,528.88,8.0,17.99,0.75,0.12
264,49.04,0.0,100.0,510.06,16.0,8.13,0.75,0.13
265,56.54,0.0,100.0,435.15,8.0,18.79,0.75,0.16
266,59.19,0.0,100.0,408.7,16.0,6.86,0.75,0.08
267,53.22,0.0,100.0,468.34,8.0,19.26,0.75,0.08
268,54.54,0.0,100.0,455.11,16.0,8.88,0.75,0.11
269,30.66,0.0,100.0,693.74,16.0,8.58,0.75,0.11
270,53.81,0.0,100.0,462.46,8.0,19.24,0.75,0.07
271,52.15,0.0,100.0,478.97,16.0,7.43,0.75,0.08
272,75.7,0.0,100.0,243.8,8.0,20.66,0.75,0.07
273,57.54,0.0,100.0,425.21,8.0,18.38,0.75,0.08
274,65.84,0.0,100.0,342.29,16.0,7.98,0.75,0.12
275,58.49,0.0,100.0,415.65,16.0,9.0,0.62,0.1
276,29.82,0.0,100.0,702.07,16.0,8.46,0.75,0.09
277,58.63,0.0,100.0,414.29,16.0,8.07,0.75,0.11
278,33.14,0.0,100.0,668.89,8.0,18.88,0.75,0.11
279,52.15,0.04,96.0,498.97,2.0,32.48,0.75,0.1
280,88.59,0.0,100.0,115.0,8.0,19.46,0.75,0.13
281,57.49,0.0,100.0,425.66,8.0,19.96,0.68,0.09
282,46.05,0.0,100.0,539.92,8.0,16.33,0.75,0.07
283,68.4,0.0,100.0,316.7,4.0,39.02,0.75,0.07
284,62.2,0.0,100.0,378.64,16.0,9.8,0.61,0.08
285,41.14,0.0,100.0,588.96,16.0,9.6,0.75,0.08
286,67.35,0.0,100.0,327.17,16.0,11.18,0.75,0.08
287,84.84,0.0,100.0,152.46,16.0,8.15,0.68,0.09
288,47.04,0.0,100.0,530.02,16.0,9.56,0.75,0.09
289,77.36,0.0,100.0,227.12,4.0,33.82,0.75,0.08
290,69.91,0.0,100.0,301.59,16.0,10.64,0.75,0.07
291,53.92,0.0,100.0,461.31,4.0,39.11,0.75,0.06
292,39.62,0.0,100.0,604.2,8.0,17.17,0.75,0.07
