episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
185,69.45,0.0,100.0,306.19,4.0,36.71,0.75,0.24
186,33.3,0.0,100.0,667.29,4.0,36.96,0.75,0.24
187,48.86,0.0,100.0,511.91,4.0,39.02,0.75,0.18
188,69.76,0.0,100.0,303.06,3.31,31.37,0.53,0.16
189,64.63,0.0,100.0,354.36,4.0,39.65,0.75,0.24
190,70.93,0.0,100.0,291.45,1.96,39.69,0.52,0.27
191,44.68,0.0,100.0,553.65,2.3,32.52,0.71,0.24
192,48.37,0.0,100.0,516.8,2.12,37.56,0.7,0.21
193,72.56,0.0,100.0,275.14,4.0,43.2,0.75,0.21
194,52.05,0.0,100.0,480.03,2.05,37.15,0.49,0.25
195,56.63,0.0,100.0,434.24,1.84,36.83,0.52,0.24
196,44.82,0.0,100.0,552.29,4.0,36.13,0.75,0.25
197,69.48,0.0,100.0,305.9,8.0,18.06,0.75,0.24
198,36.8,0.0,100.0,632.37,2.2,39.0,0.52,0.28
199,64.99,0.0,100.0,350.75,4.0,38.23,0.75,0.19
200,66.14,0.0,100.0,339.25,8.0,21.61,0.75,0.19
201,47.0,0.0,100.0,530.44,4.0,36.03,0.75,0.19
202,54.35,0.0,100.0,457.06,2.61,29.72,0.56,0.24
203,69.48,0.0,100.0,305.9,4.0,38.54,0.75,0.24
204,44.25,0.0,100.0,557.91,4.0,39.22,0.75,0.29
205,73.83,0.0,100.0,262.49,4.0,37.56,0.75,0.22
206,81.8,0.0,100.0,182.86,2.24,35.2,0.72,0.32
207,53.65,0.0,100.0,464.02,4.0,42.07,0.75,0.26
208,64.93,0.0,100.0,351.32,1.66,38.68,0.5,0.3
209,45.54,0.0,100.0,545.09,2.12,35.43,0.7,0.27
210,60.95,0.04,96.0,407.39,2.0,38.3,0.75,0.19
211,63.55,0.0,100.0,365.12,8.0,18.73,0.75,0.19
212,88.62,0.0,100.0,114.71,4.0,40.03,0.75,0.2
213,47.29,0.0,100.0,527.58,2.6,31.03,0.67,0.18
214,50.88,0.0,100.0,491.71,2.42,34.81,0.7,0.23
215,47.46,0.0,100.0,525.88,4.0,42.29,0.75,0.24
216,59.63,0.0,100.0,404.31,2.11,38.51,0.51,0.21
217,57.08,0.0,100.0,429.73,2.42,34.71,0.72,0.16
218,74.41,0.0,100.0,256.65,2.08,35.92,0.71,0.2
219,69.18,0.0,100.0,308.9,2.36,35.34,0.7,0.24
220,74.97,0.0,100.0,251.09,2.12,40.92,0.7,0.23
221,31.86,0.0,100.0,681.7,8.0,20.07,0.75,0.19
222,54.57,0.0,100.0,454.82,4.0,46.89,0.75,0.22
223,62.73,0.0,100.0,373.34,4.0,40.55,0.75,0.2
224,65.18,0.0,100.0,348.82,2.6,33.04,0.66,0.22
225,47.79,0.0,100.0,522.53,2.68,27.34,0.58,0.22
226,59.01,0.0,100.0,410.5,1.51,38.34,0.45,0.2
227,61.51,0.0,100.0,385.54,4.0,39.77,0.75,0.25
228,65.42,0.0,100.0,346.44,2.06,41.7,0.73,0.21
229,52.3,0.0,100.0,477.54,4.0,37.32,0.75,0.2
230,56.12,0.0,100.0,439.33,6.1,21.25,0.52,0.2
231,76.73,0.0,100.0,233.45,8.0,18.53,0.75,0.22
232,56.15,0.0,100.0,439.01,4.0,41.83,0.75,0.2
